#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XS,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
40,1500,Arceus (Flying),arceus_flying,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
41,1500,Arceus (Ghost),arceus_ghost,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,0.00%,3.00%,-,-,2.00%,D,14-4-10-11
42,1500,Arceus (Grass),arceus_grass,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
43,1500,Arceus (Ground),arceus_ground,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
44,1500,Arceus (Ice),arceus_ice,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,-24.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
45,1500,Arceus (Poison),arceus_poison,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,25.00%,71.00%,-,-,50.00%,B,14-0-15-14
46,1500,Arceus (Psychic),arceus_psychic,2001-01-03,14-0-15-14,14-4-10-11,,13-15-15-15,-,0.00%,3.00%,-,-,54.00%,D,14-4-10-11
47,1500,Arceus (Rock),arceus_rock,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,70.00%,70.00%,-,-,50.00%,B,14-0-15-14
48,1500,Arceus (Steel),arceus_steel,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,70.00%,51.00%,-,-,71.00%,B,14-0-15-14
49,1500,Arceus (Water),arceus_water,2001-03-01,14-0-15-14,14-4-10-11,,13-15-15-15,-,25.00%,-22.00%,-,-,-22.00%,M,13-15-15-15
50,1500,Archen,archen,2001-03-02,31-0-15-15,31-4-14-10,,28.5-15-15-15,-,-20.00%,-19.00%,-,-,-19.00%,M,28.5-15-15-15
51,1500,Archeops,archeops,2001-03-02,16.5-1-15-15,16.5-4-11-15,,15.5-15-15-15,-,-27.00%,-25.00%,-,-,-25.00%,M,15.5-15-15-15
52,1500,Ariados,ariados,2001-02-01,35-0-14-15,34-4-11-15,,29.5-15-15-15,-,-7.00%,-2.00%,-,-,-1.00%,M,29.5-15-15-15
53,1500,Armaldo,armaldo,2000-02-01,20-0-9-15,19.5-4-14-12,,18-15-15-15,-,-31.00%,-29.00%,-,-,-29.00%,M,18-15-15-15
54,1500,Armaldo (Shadow),armaldo_shadow,2000-03-01,20-0-9-15,19.5-4-14-12,,18-15-15-15,-,26.00%,4.00%,-,-,1.00%,B,20-0-9-15
55,1500,Aromatisse,aromatisse,2001-02-04,24.5-0-13-15,24-5-15-8,,22-15-15-15,-,11.00%,11.00%,-,-,8.00%,B,24.5-0-13-15
56,1500,Aron,aron,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
57,1500,Aron (Shadow),aron_shadow,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
58,1500,Articuno,articuno,2001-05-03,18.5-1-15-14,18.5-5-14-6,,17-15-15-15,-,-11.00%,-10.00%,-,-,-10.00%,M,17-15-15-15
59,1500,Articuno (Shadow),articuno_shadow,2001-06-04,18.5-1-15-14,18.5-5-14-6,,17-15-15-15,-,-15.00%,-10.00%,-,-,-9.00%,M,17-15-15-15
60,1500,Audino,audino,2000-02-03,41-0-15-13,39-4-13-12,,32-15-15-15,-,-15.00%,-10.00%,-,-,-10.00%,M,32-15-15-15
61,1500,Aurorus,aurorus,2001-05-01,20.5-0-12-13,20-5-14-8,,18.5-15-15-15,-,-6.00%,-2.00%,-,-,-1.00%,M,18.5-15-15-15
62,1500,Avalugg,avalugg,2001-01-02,17.5-2-15-15,17.5-6-15-6,,16-15-15-15,-,3.00%,3.00%,-,-,2.00%,B,17.5-2-15-15
63,1500,Axew,axew,2001-02-01,50-10-15-14,49-13-13-15,,47-15-15-15,-,40.00%,40.00%,-,-,40.00%,B,50-10-15-14
64,1500,Azelf,azelf,2000-02-01,17-5-15-14,17-7-15-11,,16-15-15-15,-,21.00%,26.00%,-,-,26.00%,B,17-5-15-14
65,1500,Azumarill,azumarill,2000-02-01,45.5-0-15-15,43.5-4-14-11,39.5-9-14-14,36-15-15-15,-5.00%,-7.00%,8.00%,4.00%,1.00%,7.00%,X,39.5-9-14-14
67,1500,Azurill,azurill,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
68,1500,Bagon,bagon,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
69,1500,Bagon (Shadow),bagon_shadow,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
70,1500,Baltoy,baltoy,2000-03-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
71,1500,Banette,banette,2001-03-04,24.5-0-14-15,24.5-4-13-10,,22.5-15-15-15,-,28.00%,27.00%,-,-,0.00%,B,24.5-0-14-15
72,1500,Banette (Shadow),banette_shadow,2001-03-04,24.5-0-14-15,24.5-4-13-10,,22.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,22.5-15-15-15
73,1500,Barbaracle,barbaracle,2000-04-01,21.5-0-10-13,20.5-5-15-15,,19.5-15-15-15,-,-2.00%,45.00%,-,-,44.00%,D,20.5-5-15-15
74,1500,Barboach,barboach,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
75,1500,Basculin,basculin,2001-02-03,27.5-0-11-15,27-4-10-14,48-5-14-10,25-15-15-15,-,19.00%,-14.00%,-,-,-5.00%,M,25-15-15-15
76,1500,Bastiodon,bastiodon,2001-03-01,50-0-15-14,47.5-4-12-12,39-14-15-14,38-15-15-15,7.00%,2.00%,7.00%,-3.00%,0.00%,3.00%,B,50-0-15-14
78,1500,Bayleef,bayleef,2000-03-01,50-3-15-15,49.5-4-14-14,,42-15-15-15,-,-2.00%,3.00%,-,-,2.00%,D,49.5-4-14-14
79,1500,Beartic,beartic,2001-01-03,18.5-0-15-12,18-5-15-12,,17-15-15-15,-,1.00%,3.00%,-,-,2.00%,B,18.5-0-15-12
80,1500,Beautifly,beautifly,2000-02-03,34-0-15-15,34.5-4-10-14,,29.5-15-15-15,-,-7.00%,-3.00%,-,-,-2.00%,M,29.5-15-15-15
81,1500,Beedrill,beedrill,2002-06-02,32.5-0-13-14,31-4-14-12,,28-15-15-15,-,-25.00%,-22.00%,-,-,-22.00%,M,28-15-15-15
82,1500,Beedrill (Mega),beedrill_mega,2002-05-02,16.5-0-11-15,16-5-15-14,,15.5-15-15-15,-,-2.00%,-1.00%,-,-,-1.00%,M,15.5-15-15-15
83,1500,Beedrill (Shadow),beedrill_shadow,2002-06-02,32.5-0-13-14,31-4-14-12,,28-15-15-15,-,2.00%,1.00%,-,-,-26.00%,B,32.5-0-13-14
84,1500,Beheeyem,beheeyem,2001-03-02,20.5-0-14-13,20-4-14-14,,19-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,19-15-15-15
85,1500,Beldum,beldum,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
86,1500,Beldum (Shadow),beldum_shadow,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
87,1500,Bellossom,bellossom,2001-02-04,25-1-14-14,24.5-6-15-10,,23-15-15-15,-,-7.00%,-5.00%,-,-,-4.00%,M,23-15-15-15
88,1500,Bellossom (Shadow),bellossom_shadow,2001-03-01,25-1-14-14,24.5-6-15-10,,23-15-15-15,-,-39.00%,-28.00%,-,-,-27.00%,M,23-15-15-15
89,1500,Bellsprout,bellsprout,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
90,1500,Bellsprout (Shadow),bellsprout_shadow,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
91,1500,Bergmite,bergmite,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
92,1500,Bibarel,bibarel,2001-03-02,33.5-0-14-13,30.5-7-14-15,,28.5-15-15-15,-,-13.00%,-9.00%,-,-,-8.00%,M,28.5-15-15-15
93,1500,Bidoof,bidoof,2001-03-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
94,1500,Binacle,binacle,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
95,1500,Bisharp,bisharp,2001-01-04,19.5-1-15-15,19.5-4-13-13,,18-15-15-15,-,-19.00%,-16.00%,-,-,-16.00%,M,18-15-15-15
96,1500,Blastoise,blastoise,2001-02-04,23-1-15-15,22.5-5-15-13,,21-15-15-15,-,2.00%,5.00%,-,-,2.00%,B,23-1-15-15
97,1500,Blastoise (Mega),blastoise_mega,2001-02-04,14-1-15-15,13.5-12-15-14,,13-15-15-15,-,-17.00%,-15.00%,-,-,17.00%,D,13.5-12-15-14
98,1500,Blastoise (Shadow),blastoise_shadow,2001-03-05,23-1-15-15,22.5-5-15-13,,21-15-15-15,-,1.00%,2.00%,-,-,-34.00%,B,23-1-15-15
99,1500,Blaziken,blaziken,2000-02-06,19.5-1-15-15,19-8-15-13,,18-15-15-15,-,0.00%,8.00%,-,-,6.00%,D,19-8-15-13
100,1500,Blissey,blissey,2000-03-02,21.5-0-15-3,21-4-11-6,,19-15-15-15,-,-11.00%,-7.00%,-,-,-7.00%,M,19-15-15-15
101,1500,Blitzle,blitzle,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
102,1500,Boldore,boldore,2001-02-01,28-0-15-15,28-5-10-12,,25.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,25.5-15-15-15
103,1500,Bonsly,bonsly,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
104,1500,Bouffalant,bouffalant,2000-04-01,20.5-0-13-11,20-4-12-13,,18.5-15-15-15,-,-9.00%,15.00%,-,-,1.00%,D,20-4-12-13
105,1500,Braixen,braixen,2000-02-03,33-0-15-15,31.5-5-14-14,,28.5-15-15-15,-,-5.00%,-2.00%,-,-,-2.00%,M,28.5-15-15-15
106,1500,Braviary,braviary,2000-01-02,18-1-15-15,18-5-14-8,,17-15-15-15,-,-15.00%,10.00%,-,-,0.00%,M,17-15-15-15
107,1500,Breloom,breloom,2001-01-02,21-2-15-15,21-5-15-10,,19.5-15-15-15,-,3.00%,3.00%,-,-,10.00%,B,21-2-15-15
108,1500,Bronzong,bronzong,2000-06-04,25.5-1-15-14,25.5-4-12-10,,23-15-15-15,-,-41.00%,-40.00%,-,-,-39.00%,M,23-15-15-15
109,1500,Bronzor,bronzor,2000-04-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
110,1500,Budew,budew,2016-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
111,1500,Buizel,buizel,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
112,1500,Bulbasaur,bulbasaur,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
113,1500,Bulbasaur (Shadow),bulbasaur_shadow,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
114,1500,Buneary,buneary,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
115,1500,Bunnelby,bunnelby,2001-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
116,1500,Burmy (Plant),burmy_plant,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
117,1500,Burmy (Sandy),burmy_sandy,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
118,1500,Burmy (Trash),burmy_trash,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
119,1500,Butterfree,butterfree,2001-02-03,33-0-13-15,31.5-4-14-13,,28.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,28.5-15-15-15
120,1500,Cacnea,cacnea,2001-02-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
121,1500,Cacturne,cacturne,2001-03-04,24.5-0-14-15,23.5-9-14-15,,22.5-15-15-15,-,-7.00%,-5.00%,-,-,-5.00%,M,22.5-15-15-15
122,1500,Camerupt,camerupt,2000-03-02,26-0-14-13,25.5-6-14-9,,23.5-15-15-15,-,3.00%,3.00%,-,-,0.00%,B,26-0-14-13
123,1500,Carbink,carbink,2000-03-01,49.5-5-15-15,50-6-10-13,,41.5-15-15-15,-,0.00%,4.00%,-,-,2.00%,D,50-6-10-13
124,1500,Carnivine,carnivine,2001-03-01,26.5-0-14-13,25.5-6-14-15,,24-15-15-15,-,0.00%,2.00%,-,-,-44.00%,M,24-15-15-15
125,1500,Carracosta,carracosta,2001-03-02,21.5-1-14-15,21-7-12-14,,20-15-15-15,-,-9.00%,-7.00%,-,-,-7.00%,M,20-15-15-15
126,1500,Carvanha,carvanha,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
127,1500,Carvanha (Shadow),carvanha_shadow,2001-02-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
128,1500,Cascoon,cascoon,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
129,1500,Castform,castform,2000-03-01,41.5-0-14-15,38.5-6-14-15,,34-15-15-15,-,-18.00%,-13.00%,-,-,-12.00%,M,34-15-15-15
130,1500,Castform (Rainy),castform_rainy,2001-03-02,41.5-0-14-15,38.5-6-14-15,,34-15-15-15,-,-19.00%,-16.00%,-,-,-16.00%,M,34-15-15-15
131,1500,Castform (Snowy),castform_snowy,2000-03-01,41.5-0-14-15,38.5-6-14-15,,34-15-15-15,-,-15.00%,-12.00%,-,-,-11.00%,M,34-15-15-15
132,1500,Castform (Sunny),castform_sunny,2000-03-02,41.5-0-14-15,38.5-6-14-15,,34-15-15-15,-,-14.00%,-11.00%,-,-,-10.00%,M,34-15-15-15
133,1500,Caterpie,caterpie,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
134,1500,Celebi,celebi,2001-05-04,16.5-10-15-13,16.5-12-10-14,,16-15-15-15,-,-3.00%,-2.00%,-,-,2.00%,D,16.5-12-10-14
135,1500,Chandelure,chandelure,2002-02-04,17-0-15-14,16.5-8-15-14,,16-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,16-15-15-15
136,1500,Chansey,chansey,2000-04-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
137,1500,Charizard,charizard,2003-01-02,19.5-0-15-13,19-4-13-15,,18-15-15-15,-,-3.00%,3.00%,-,-,2.00%,D,19-4-13-15
138,1500,Charizard (Mega X),charizard_mega_x,2003-01-02,14.5-0-11-15,14.5-5-12-7,,13.5-15-15-15,-,-53.00%,-53.00%,-,-,53.00%,D,14.5-5-12-7
139,1500,Charizard (Mega Y),charizard_mega_y,2003-01-02,12.5-0-13-11,12-6-15-15,,11.5-15-15-15,-,15.00%,-13.00%,-,-,-13.00%,M,11.5-15-15-15
140,1500,Charizard (Shadow),charizard_shadow,2003-01-02,19.5-0-15-13,19-4-13-15,,18-15-15-15,-,-23.00%,-20.00%,-,-,-20.00%,M,18-15-15-15
141,1500,Charmander,charmander,2000-03-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
142,1500,Charmander (Shadow),charmander_shadow,2000-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
143,1500,Charmeleon,charmeleon,2000-01-04,40-0-13-15,39-4-13-11,,33.5-15-15-15,-,1.00%,-18.00%,-,-,-18.00%,M,33.5-15-15-15
144,1500,Charmeleon (Shadow),charmeleon_shadow,2000-01-02,40-0-13-15,39-4-13-11,,33.5-15-15-15,-,-4.00%,-2.00%,-,-,-2.00%,M,33.5-15-15-15
145,1500,Chatot,chatot,2000-03-02,33.5-0-15-14,32.5-5-14-12,,29-15-15-15,-,2.00%,2.00%,-,-,0.00%,B,33.5-0-15-14
146,1500,Cherrim (Overcast),cherrim_overcast,2000-03-01,28-0-13-15,27-7-13-14,,25.5-15-15-15,-,2.00%,1.00%,-,-,-58.00%,B,28-0-13-15
147,1500,Cherrim (Sunshine),cherrim_sunny,2000-04-03,28-0-13-15,27-7-13-14,,25.5-15-15-15,-,-22.00%,-19.00%,-,-,-18.00%,M,25.5-15-15-15
148,1500,Cherubi,cherubi,2000-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
149,1500,Chesnaught,chesnaught,2002-04-01,19-1-15-15,19-5-10-11,,17.5-15-15-15,-,2.00%,28.00%,-,-,1.00%,B,19-1-15-15
150,1500,Chespin,chespin,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
151,1500,Chikorita,chikorita,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
152,1500,Chimchar,chimchar,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
153,1500,Chimecho,chimecho,2001-02-03,25.5-0-14-12,25-5-10-13,,23-15-15-15,-,-26.00%,-23.00%,-,-,-22.00%,M,23-15-15-15
154,1500,Chinchou,chinchou,2001-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
155,1500,Chingling,chingling,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
156,1500,Cinccino,cinccino,2000-01-03,25-2-15-14,24.5-7-15-12,,23-15-15-15,-,0.00%,0.00%,-,-,5.00%,D,24.5-7-15-12
157,1500,Clamperl,clamperl,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
158,1500,Clauncher,clauncher,2001-02-01,50-15-15-15,50-15-15-15,19-5-11-15,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
159,1500,Clawitzer,clawitzer,2001-01-03,20.5-0-13-13,20-4-14-13,,19-15-15-15,-,-8.00%,-7.00%,-,-,-7.00%,M,19-15-15-15
160,1500,Claydol,claydol,2000-02-06,29.5-0-14-15,28.5-4-14-15,,26.5-15-15-15,-,-40.00%,-38.00%,-,-,-38.00%,M,26.5-15-15-15
161,1500,Clefable,clefable,2001-03-02,23.5-0-13-15,23-5-12-13,19-5-11-15,21.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,21.5-15-15-15
162,1500,Clefairy,clefairy,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
163,1500,Cleffa,cleffa,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
164,1500,Cloyster,cloyster,2001-05-04,22.5-0-13-13,22-5-9-14,,20.5-15-15-15,-,-5.00%,-1.00%,-,-,2.00%,D,22-5-9-14
