#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XL,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
47,2500,冰雪龍,amaura,1-04-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
48,2500,冰鬼護,glalie,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
49,2500,冷水猴,panpour,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
50,2500,冷水猿,simipour,1-03-01,49.5-3-15-15,40-15-15-15,,44.5-15-15-15,-,26.00%,-23.00%,-,-,0.00%,M,44.5-15-15-15
51,2500,凍原熊,beartic,1-01-03,31.5-0-15-13,30-5-13-14,,28.5-15-15-15,-,-15.00%,-12.00%,-,-,-12.00%,M,28.5-15-15-15
52,2500,凱羅斯,pinsir,1-01-06,33-0-14-15,32.5-6-8-14,,29.5-15-15-15,-,-11.00%,-10.00%,-,-,-20.00%,M,29.5-15-15-15
53,2500,凱羅斯 暗影化,pinsir_shadow,1-01-06,33-0-14-15,32.5-6-8-14,,29.5-15-15-15,-,-37.00%,-36.00%,-,-,-36.00%,M,29.5-15-15-15
54,2500,凱西,abra,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
55,2500,凱西 暗影化,abra_shadow,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
56,2500,凱路迪歐 平常型態,keldeo_ordinary,1-02-04,25-0-15-15,25-7-9-10,,23.5-15-15-15,-,-12.00%,-12.00%,-,-,12.00%,D,25-7-9-10
57,2500,凱路迪歐 覺悟型態,keldeo_resolute,1-02-04,25-0-15-15,25-7-9-10,,23.5-15-15-15,-,-12.00%,-12.00%,-,-,12.00%,D,25-7-9-10
58,2500,利歐路,riolu,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
59,2500,利牙魚,carvanha,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
60,2500,利牙魚 暗影化,carvanha_shadow,1-02-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
61,2500,刺尾蟲,wurmple,0-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
62,2500,刺球仙人掌,cacnea,1-02-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
63,2500,刺球仙人掌 暗影化,cacnea_shadow,1-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
64,2500,刺甲貝,cloyster,1-05-04,45-0-14-14,39.5-13-15-13,,38.5-15-15-15,-,4.00%,4.00%,-,-,-15.00%,B,45-0-14-14
65,2500,刺甲貝 暗影化,cloyster_shadow,1-06-05,45-0-14-14,39.5-13-15-13,,38.5-15-15-15,-,5.00%,5.00%,-,-,0.00%,B,45-0-14-14
66,2500,刺龍王,kingdra,0-04-03,41.5-0-15-15,36.5-15-14-14,,36-15-15-15,-,3.00%,5.00%,-,-,16.00%,B,41.5-0-15-15
67,2500,劈斬司令,bisharp,1-01-03,35.5-0-15-15,36-5-6-13,,31.5-15-15-15,-,-14.00%,-12.00%,-,-,-11.00%,M,31.5-15-15-15
68,2500,力壯雞,combusken,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
69,2500,功夫鼬,mienfoo,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
70,2500,勇基拉,kadabra,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
71,2500,勇基拉 暗影化,kadabra_shadow,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
72,2500,勇士雄鷹,braviary,0-01-02,30.5-0-14-15,30-7-11-9,,28-15-15-15,-,9.00%,9.00%,-,-,0.00%,B,30.5-0-14-15
73,2500,勒克貓,luxio,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
74,2500,勾帕路翁,cobalion,0-03-04,32.5-1-15-12,30-8-14-14,,28.5-15-15-15,-,-32.00%,-14.00%,-,-,-14.00%,M,28.5-15-15-15
75,2500,勾魂眼,sableye,1-01-04,50-15-15-15,40-15-15-15,50-15-15-15,50-15-15-15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,M,50-15-15-15
77,2500,勾魂眼 暗影化,sableye_shadow,1-01-04,50-15-15-15,40-15-15-15,50-15-15-15,50-15-15-15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,M,50-15-15-15
79,2500,化石盔,kabuto,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
80,2500,化石翼龍,aerodactyl,1-06-02,37.5-0-13-15,36.5-5-11-13,,32.5-15-15-15,-,0.00%,3.00%,-,-,1.00%,D,36.5-5-11-13
81,2500,化石翼龍 暗影化,aerodactyl_shadow,1-06-02,37.5-0-13-15,36.5-5-11-13,,32.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,32.5-15-15-15
82,2500,千針魚,qwilfish,0-02-05,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
83,2500,南瓜怪人,gourgeist,1-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
84,2500,南瓜精,pumpkaboo,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
85,2500,卡咪龜,wartortle,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
86,2500,卡咪龜 暗影化,wartortle_shadow,1-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
87,2500,卡拉卡拉,cubone,0-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
88,2500,卡拉卡拉 暗影化,cubone_shadow,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
89,2500,卡比獸,snorlax,0-01-02,29.5-0-12-15,28.5-8-10-14,,27-15-15-15,-,-9.00%,-6.00%,-,-,-5.00%,M,27-15-15-15
90,2500,卡比獸 暗影化,snorlax_shadow,0-01-02,29.5-0-12-15,28.5-8-10-14,,27-15-15-15,-,2.00%,2.00%,-,-,-28.00%,B,29.5-0-12-15
91,2500,卡蒂狗,growlithe,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
92,2500,卡蒂狗 暗影化,growlithe_shadow,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
93,2500,原蓋海龜,tirtouga,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
94,2500,叉字蝠,crobat,0-03-04,41.5-0-15-14,37-14-13-13,,36-15-15-15,-,-15.00%,-15.00%,-,-,15.00%,D,37-14-13-13
95,2500,叉字蝠 暗影化,crobat_shadow,0-03-04,41.5-0-15-14,37-14-13-13,,36-15-15-15,-,1.00%,1.00%,-,-,0.00%,B,41.5-0-15-14
96,2500,口呆花,weepinbell,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
97,2500,口呆花 暗影化,weepinbell_shadow,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
98,2500,古空棘魚,relicanth,0-02-01,47-0-11-15,40-13-13-15,,39-15-15-15,-,-4.00%,-3.00%,-,-,-2.00%,M,39-15-15-15
99,2500,可可多拉,aron,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
100,2500,可多拉,lairon,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
101,2500,可達鴨,psyduck,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
102,2500,可達鴨 暗影化,psyduck_shadow,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
103,2500,吉利蛋,chansey,0-04-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
104,2500,向尾喵,skitty,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
105,2500,向日種子,sunkern,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
106,2500,向日花怪,sunflora,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
110,2500,君主蛇,serperior,1-2-1,50-10-14-15,40-15-15-15,49.5-11-14-15,47.5-15-15-15,-7%,44%,-6%,44%,-6%,0%,M,47.5-15-15-15
108,2500,吞食獸,swalot,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
109,2500,含羞苞,budew,2016-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
110,2500,吼吼鯨,wailmer,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
111,2500,吼爆彈,loudred,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
112,2500,吼鯨王,wailord,0-03-01,50-9-15-15,40-15-15-15,,47-15-15-15,-,28.00%,2.00%,-,-,0.00%,B,50-9-15-15
113,2500,呆呆獸,slowpoke,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
114,2500,呆呆獸 暗影化,slowpoke_shadow,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
115,2500,呆呆王,slowking,0-03-01,45.5-0-14-14,39.5-12-15-15,,38.5-15-15-15,-,2.00%,2.00%,-,-,-28.00%,B,45.5-0-14-14
116,2500,呆呆王 暗影化,slowking_shadow,0-04-01,45.5-0-14-14,39.5-12-15-15,,38.5-15-15-15,-,-14.00%,-13.00%,-,-,14.00%,D,39.5-12-15-15
117,2500,呆殼獸,slowbro,0-02-01,45.5-0-14-14,39.5-12-15-15,,38.5-15-15-15,-,0.00%,4.00%,-,-,0.00%,M,38.5-15-15-15
118,2500,呆殼獸 暗影化,slowbro_shadow,0-03-02,45.5-0-14-14,39.5-12-15-15,,38.5-15-15-15,-,11.00%,-13.00%,-,-,-13.00%,M,38.5-15-15-15
119,2500,呆火駝,numel,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
120,2500,呱呱泡蛙,froakie,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
121,2500,呱頭蛙,frogadier,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
122,2500,咕咕,hoothoot,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
123,2500,咕咕鴿,tranquill,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
124,2500,咕妞妞,whismur,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
125,2500,咚咚鼠,dedenne,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
126,2500,咩利羊,mareep,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
127,2500,咩利羊 暗影化,mareep_shadow,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
128,2500,哈克龍,dragonair,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
129,2500,哈克龍 暗影化,dragonair_shadow,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
130,2500,哈力栗,chespin,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
131,2500,哈約克,herdier,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
132,2500,哎呀球菇,foongus,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
133,2500,哥德寶寶,gothita,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
134,2500,哥德小姐,gothitelle,1-03-02,49.5-0-14-15,40-15-15-15,,42.5-15-15-15,-,4.00%,3.00%,-,-,0.00%,B,49.5-0-14-15
135,2500,哥德小童,gothorita,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
136,2500,哥達鴨,golduck,1-02-04,48.5-0-13-13,40-15-15-15,,41.5-15-15-15,-,-18.00%,-18.00%,-,-,0.00%,M,41.5-15-15-15
137,2500,哥達鴨 暗影化,golduck_shadow,1-02-05,48.5-0-13-13,40-15-15-15,,41.5-15-15-15,-,4.00%,4.00%,-,-,0.00%,B,48.5-0-13-13
138,2500,哭哭面具,yamask,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
139,2500,哭哭面具 伽勒爾型態,yamask_galarian,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
140,2500,哲爾尼亞斯,xerneas,0-01-04,20.5-0-15-13,20-10-10-13,,19-15-15-15,-,1.00%,5.00%,-,-,4.00%,B,20.5-0-15-13
141,2500,喇叭芽,bellsprout,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
142,2500,喇叭芽 暗影化,bellsprout_shadow,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
143,2500,單卵細胞球,solosis,2012-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
144,2500,單首龍,deino,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
145,2500,喵喵,meowth,0-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
146,2500,喵喵 伽勒爾型態,meowth_galarian,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
147,2500,喵喵 暗影化,meowth_shadow,0-01-05,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
148,2500,喵喵 阿羅拉型態,meowth_alolan,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
149,2500,喵頭目,perrserker,1-01-02,50-0-14-15,40-15-15-15,,43.5-15-15-15,-,-41.00%,-42.00%,-,-,0.00%,M,43.5-15-15-15
150,2500,嗡蝠,noibat,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
151,2500,嘎啦嘎啦,marowak,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
152,2500,嘎啦嘎啦 暗影化,marowak_shadow,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
153,2500,嘎啦嘎啦 阿羅拉型態,marowak_alolan,1-05-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
154,2500,嘟嘟,doduo,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
155,2500,嘟嘟利,dodrio,0-03-04,50-0-15-15,40-15-15-15,,44.5-15-15-15,-,-9.00%,-12.00%,-,-,0.00%,M,44.5-15-15-15
156,2500,噗噗豬,grumpig,1-03-02,50-3-14-15,40-15-15-15,,44-15-15-15,-,6.00%,3.00%,-,-,0.00%,B,50-3-14-15
157,2500,噴嚏熊,cubchoo,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
158,2500,噴火駝,camerupt,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
159,2500,噴火龍,charizard,1-01-02,35-0-13-15,35-5-13-6,33.5-6-12-14,30.5-15-15-15,-5.00%,-3.00%,-3.00%,-3.00%,-3.00%,-3.00%,M,30.5-15-15-15
160,2500,噴火龍 (Mega X),charizard_mega_x,3-01-02,24-1-15-13,24-7-12-7,,22.5-15-15-15,-,2.00%,2.00%,-,-,0.00%,B,24-1-15-13
161,2500,噴火龍 (Mega Y),charizard_mega_y,4-01-02,20.5-1-15-15,20-6-14-15,,19.5-15-15-15,-,-23.00%,-22.00%,-,-,-22.00%,M,19.5-15-15-15
163,2500,噴火龍 暗影化,charizard_shadow,1-01-02,35-0-13-15,35-5-13-6,33.5-6-12-14,30.5-15-15-15,1.00%,4.00%,4.00%,2.00%,2.00%,0.00%,B,35-0-13-15
165,2500,四季鹿,deerling,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
166,2500,固拉多,groudon,1-03-01,22.5-1-14-13,22.5-5-14-6,,21-15-15-15,-,-29.00%,-29.00%,-,-,-29.00%,M,21-15-15-15
167,2500,圈圈熊,ursaring,2-03-01,33.5-0-15-13,32-5-15-12,,29.5-15-15-15,-,-64.00%,-64.00%,-,-,-64.00%,M,29.5-15-15-15
168,2500,圈圈熊 暗影化,ursaring_shadow,2-04-01,33.5-0-15-13,32-5-15-12,,29.5-15-15-15,-,-54.00%,-50.00%,-,-,-50.00%,M,29.5-15-15-15
